epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5040282011032104,9.999999747378752e-05,2.060879945755005,0.7514041066169739,1.1862986087799072
1,0.7889006733894348,9.999999747378752e-05,0.9946144819259644,0.8447656631469727,0.7341665625572205
2,0.8482874631881714,9.999999747378752e-05,0.6985064148902893,0.8770831227302551,0.5494381785392761
3,0.8738375902175903,9.999999747378752e-05,0.5538691282272339,0.8983519077301025,0.44633054733276367
4,0.8893287777900696,9.999999747378752e-05,0.4727587103843689,0.908203661441803,0.3880819082260132
5,0.8989503979682922,9.999999747378752e-05,0.41695284843444824,0.9203572273254395,0.34133920073509216
6,0.9057867527008057,9.999999747378752e-05,0.3785037398338318,0.925973653793335,0.3097016215324402
7,0.9108046889305115,9.999999747378752e-05,0.3491378128528595,0.9310376644134521,0.28441599011421204
8,0.9138200879096985,9.999999747378752e-05,0.32627302408218384,0.933063268661499,0.26933756470680237
9,0.9179173111915588,9.999999747378752e-05,0.3093695044517517,0.9361016750335693,0.2543090283870697
10,0.9226820468902588,9.999999747378752e-05,0.2918033301830292,0.9401528239250183,0.23853185772895813
11,0.9249378442764282,9.999999747378752e-05,0.27991604804992676,0.9415339231491089,0.22832444310188293
12,0.9278611540794373,9.999999747378752e-05,0.2682940363883972,0.9435595273971558,0.21888332068920135
13,0.9285516738891602,9.999999747378752e-05,0.2610979676246643,0.9454009532928467,0.21272437274456024
14,0.929955780506134,9.999999747378752e-05,0.25435253977775574,0.9454930424690247,0.2055710107088089
15,0.9328100681304932,9.999999747378752e-05,0.24349576234817505,0.9462296366691589,0.20078106224536896
16,0.9347435832023621,9.999999747378752e-05,0.23596662282943726,0.9477948546409607,0.19421443343162537
17,0.9332013726234436,9.999999747378752e-05,0.2332639992237091,0.9465979337692261,0.19299805164337158
18,0.936055600643158,9.999999747378752e-05,0.2265041023492813,0.9499125480651855,0.1845969408750534
19,0.9381732940673828,9.999999747378752e-05,0.21982556581497192,0.9517539739608765,0.17933416366577148
20,0.937298595905304,9.999999747378752e-05,0.21759536862373352,0.950741171836853,0.17857594788074493
21,0.9399456977844238,9.999999747378752e-05,0.2110290378332138,0.9515698552131653,0.17410850524902344
22,0.9408203959465027,9.999999747378752e-05,0.20745570957660675,0.9515698552131653,0.17161263525485992
23,0.9401988983154297,9.999999747378752e-05,0.2060936689376831,0.9523063898086548,0.16820280253887177
24,0.9413958191871643,9.999999747378752e-05,0.20084917545318604,0.953227162361145,0.16583144664764404
25,0.9402909278869629,9.999999747378752e-05,0.20171290636062622,0.9535954594612122,0.16492551565170288
26,0.942615807056427,9.999999747378752e-05,0.1973983198404312,0.9545161724090576,0.16188836097717285
27,0.9448485374450684,9.999999747378752e-05,0.19198377430438995,0.9566338062286377,0.15762163698673248
28,0.9433063268661499,9.999999747378752e-05,0.19367428123950958,0.9553447961807251,0.15644046664237976
29,0.9462756514549255,9.999999747378752e-05,0.18700335919857025,0.9563575983047485,0.1546696275472641
